time,day_of_week,city,country,channel,status,game,avg_ccu,preliminary_tag
7/17/2016 11:47,0,Boardman,US,attackerdota,good morning,Dota 2,750,community
6/25/2016 20:00,6,San Francisco,US,nvidia,Shield Night! StreamerHouse Live | 6PM - 9PM PT | Team NVIDIA,Ultimate Chicken Horse,736,community
8/6/2016 8:58,6,Boardman,US,gernaderjake,Free Trials Carries - !Trials,Destiny,735,community
6/23/2016 16:57,4,San Francisco,US,teddy_recks,Finals 3v3 UMG Tourney #RoadToSubButton #TeddyBears,Call of Duty: Black Ops III,731,community
9/20/2016 7:08,2,Boardman,US,boatyhd_,I'm Leaving Runescape!,,730,community
6/14/2016 20:16,2,Boardman,US,king_nidhogg,Day 1 | Unranked to Challenger w/ Tony | Currently 9-0,League of Legends,729,community
6/11/2016 22:53,6,Boardman,US,femsteph,Last stream for 6 days femCry || E3 HYPE,Counter-Strike: Global Offensive,721,community
6/16/2016 18:45,4,Boardman,US,stpeach,PEACHES & STREAM,Music,709,community
6/5/2016 1:46,0,Boardman,US,bigfoltz,BEST NA  w/ @Bigfoltz,Call of Duty: Black Ops III,708,community
6/7/2016 10:12,2,Boardman,US,cincinbear,Sub Games ~ Giveaway!,Counter-Strike: Global Offensive,687,community
7/17/2016 13:35,0,Boardman,US,wingsofdeath,Hey guys its Wingsofdeath here! WOW so good to see you! Have a great day and enjoy the stream,League of Legends,683,community
8/25/2016 13:12,4,Boardman,US,orzanel,ENG/RO - [3400+WN8] - Some Skorpion gameplay,World of Tanks,682,community
8/4/2016 4:46,4,Boardman,US,buehlero,2/11 | $82 Bounty Builder | over $4k up top # GrindNation,Poker,681,community
6/28/2016 20:24,2,Boardman,US,darbian,The Super Marihour Challenge http://pastebin.com/QaCUUAZ8,Super Mario Bros. 2,678,community
6/17/2016 13:30,5,Boardman,US,seriousgaming,I feel Dead by Daylight @Seriousgamingtv,Dead by Daylight,672,community
7/19/2016 9:02,2,Boardman,US,sacriel,Tribal Colony space-ship time!  w/ @Sacriel42 !shirt !cheer !discord #The42nd,RimWorld,668,community
8/22/2016 12:52,1,Boardman,US,dexteritybonus,"GROW UP? (you can't tell me what to do, mom)",Gaming Talk Shows,663,community
8/9/2016 17:01,2,Boardman,US,vgbootcamp,S@X 162 - Smash 4 Super Tuesday!,Super Smash Bros. for Wii U,661,non_community
9/1/2016 14:40,4,Boardman,US,sparcmaciived_ban,Im Banned From RuneScape!,RuneScape,654,community
9/1/2016 14:38,4,Boardman,US,sparcmaciived_ban,Im Banned From RuneScape!,RuneScape,654,community
6/4/2016 16:53,6,Boardman,US,protonjon,"Play Games, Ease Flames Part 2 - Fort McMurray Fundraiser - Type !FortFund for Details",Super Smash Bros.,650,community
8/12/2016 14:00,5,Boardman,US,seriousgaming,Live from the BEACH! Cooking with Friends: Blue Apron Tonight!,No Man's Sky,646,community
6/17/2016 11:34,5,Boardman,US,ziqoftw,"ziQo -FMP 3s new yt vid, we BACK BOIZ - https://twitter.com/Ziqoftw/status/743832852928794624",World of Warcraft,646,community
9/15/2016 0:21,4,Boardman,US,hristivoje,Back 5:30pm PST | !highlight,Poker,644,community
8/17/2016 13:02,3,Boardman,US,gernaderjake,Light 262 IB,Destiny,644,community
6/5/2016 16:23,0,Boardman,US,cyborgbaron333,[XB1] Zombies W/ Viewers,Call of Duty: Black Ops III,642,community
6/30/2016 14:07,4,San Francisco,US,valvenewsnetwork,VNNs Waiting for the Update,Team Fortress 2,642,community
8/4/2016 4:13,4,Boardman,US,emilyisproy,I Have Cancer :( Read post below stream,RuneScape,642,community
9/13/2016 0:15,2,Boardman,US,esl_overwatch,RERUN: Fortress vs Other Team - Atlantic Showdown EU Qualifier #1 - Ro32,Overwatch,641,non_community
9/6/2016 18:16,2,Boardman,US,laceduplauren,Shenanigans with TCKT!,Overwatch,637,community
6/28/2016 13:16,2,Boardman,US,dailytwitchstreamer,sub to my yt meechy tv,Grand Theft Auto V,636,community
6/12/2016 14:04,0,Boardman,US,elspeth,S'H'A'R'K'S P'O'T'A'T'O'E'S'! - 24-HOUR STRIM!,Overwatch,635,community
7/4/2016 5:08,1,Boardman,US,raszi,L Veldhuis deeeeppp,Poker,630,community
7/4/2016 5:24,1,Boardman,US,raszi,L Veldhuis last 19 $44 KO. ITM,Poker,630,community
6/14/2016 14:20,2,Boardman,US,swifty,Swifty Warrior EU pvp,World of Warcraft,629,community
8/30/2016 14:10,2,Boardman,US,letsgiveitaspin,Extra Tuesday casino high roller  action!,Blackjack,628,community
7/24/2016 6:03,0,Boardman,US,deernadia, (◠﹏◠✿) nadeo here,League of Legends,626,community
6/8/2016 20:25,3,Boardman,US,king_nidhogg,time to not feed,League of Legends,618,community
9/14/2016 22:09,3,Boardman,US,teddy_recks,Semi-Finals 3v3 1nD UMG + R2 2v2 1nD UMG No Spec Tourney #TeddyBears #LokiGang,Call of Duty: Black Ops III,618,community
8/18/2016 18:31,4,Boardman,US,seriousgaming,THIRSTDAY & Wheel of Fun | amazon.com/seriousgaming,Dead by Daylight,615,community
9/5/2016 15:02,1,Boardman,US,nvidia,iamsp00n | 6PM - 9PM PT | Team NVIDIA,World of Warcraft,614,community
7/8/2016 20:17,5,Boardman,US,zerkaa,The League of Rockets with Friends | @ZerkaaHD,Rocket League,614,community
6/5/2016 9:39,0,Boardman,US,krick3n,Story mode from the beggining!,Grand Theft Auto V,610,community
7/3/2016 9:28,0,San Francisco,US,maddenboy124,Hawkin Top Player!,Hawken,609,community
7/22/2016 14:36,5,San Francisco,US,studyy,Money 8s! THE GRIND!  @UMGOnline,Call of Duty: Black Ops III,608,community
8/14/2016 22:58,0,Boardman,US,nosleeptv,Its Hunting Season,Overwatch,607,community
9/13/2016 15:01,2,Boardman,US,nvidia,World of Swifty | 3PM - 6PM PT | Team NVIDIA,World of Warcraft,603,community
8/9/2016 18:40,2,Boardman,US,deernadia,Ranking up before new set then playing Town of Light (scary game),The Town of Light,599,community
9/10/2016 16:55,6,Boardman,US,parasitetv,Wagers & stuff w/ coL Parasite,Call of Duty: Black Ops III,598,community
8/2/2016 13:34,2,Boardman,US,vaderrp,"7 Days to Die - Day 1, hard mode no house building.",7 Days to Die,591,community
6/25/2016 6:01,6,Boardman,US,buehlero,2/9 FINAL TABLE | $55 Twister | $1300 up top @henribuehler,Poker,589,community
6/22/2016 2:30,3,San Francisco,US,sickmotionlol,"Patch 6.12 Toplane Commentary - Come learn some stuff about things, or things about stuff - HARDCORE NORMALS till ranked up",League of Legends,589,community
7/25/2016 19:09,1,Boardman,US,parasitetv,3v3 $2000 tournament w/ MajorManiak and TUP :D,Call of Duty: Black Ops III,587,non_community
6/2/2016 13:13,4,Boardman,US,tourva,Former #1  |   Song Request (On),Call of Duty: Black Ops III,581,community
8/23/2016 20:55,2,Boardman,US,anthony_kongphan,- Ninja Rogue One (Cheers are up! )-,Tom Clancy's Rainbow Six: Siege,574,community
7/2/2016 18:58,6,Boardman,US,laceduplauren,Saturday Sippin'!,Overwatch,573,community
6/6/2016 12:59,1,Boardman,US,orzanel,ENG/RO - Blood and Wine DLC - Death March Difficulty,The Witcher 3: Wild Hunt,572,community
6/17/2016 12:01,5,Boardman,US,gamej06,Endurathon 7 - !E7,Sonic the Hedgehog: Spinball,571,community
7/4/2016 10:03,1,Boardman,US,tylerootd,Finished #8 | No sleep till legend!,Hearthstone: Heroes of Warcraft,570,community
6/16/2016 21:55,4,Boardman,US,drdisrespectlive,Gaming Athleticism with Dr DisRespect || 950k + BR wins,Dead by Daylight,567,community
7/28/2016 19:48,4,Boardman,US,distortion2,Shadow of the Colossus Speedruns (nta),Bloodborne,566,community
8/15/2016 10:55,1,Boardman,US,esl_overwatch,RERUN: Luminosity vs. OWKings - Overwatch Atlantic Showdown EU Qualifier #3 - Ro16,Overwatch,564,non_community
7/14/2016 21:14,4,Boardman,US,femsteph,Insurgency Time || !Bits Beta Testing || !Merch http://dbh.la/femsteph,Insurgency,560,community
9/5/2016 0:36,1,Boardman,US,nosleeptv,"$69,000,000 GIEAWAY",Creative,559,community
9/4/2016 7:46,0,Boardman,US,adrive,DOUBLE SHINY HUNTING! SHINY SUNDAY! Quest for Shiny Dex 211/721  | Interactive Stream!,Pokémon Omega Ruby/Alpha Sapphire,558,community
9/15/2016 22:14,4,Boardman,US,esl_overwatch,RERUN: Cloud9 vs. compLexity - Overwatch Atlantic Showdown - EU Regional Finals - Group B,Overwatch,553,non_community
8/5/2016 15:17,5,Boardman,US,trionworlds,Trion Worlds Livestream: August 5,Rift,549,community
8/15/2016 12:01,1,Boardman,US,esl_overwatch,RERUN: Fortress vs Other Team - Atlantic Showdown EU Qualifier #1 - Ro32,Overwatch,544,non_community
8/27/2016 10:32,6,Boardman,US,esl_overwatch,RERUN: Creation Vs. Reunited - Overwatch Atlantic Showdown EU Regional Finals - Semifinal,Overwatch,536,non_community
9/9/2016 15:46,5,Boardman,US,snutzy,Snutz <Method> Birthday Stream! !SPRIEST GUIDE UP!,World of Warcraft,535,community
7/16/2016 15:38,6,San Francisco,US,anhierawrs,[6 HOUR STREAM] League & chill? :D !newvid <3 Follow my twitter @anhierawrs - https://twitter.com/anhierawrs/,League of Legends,534,community
9/13/2016 14:46,2,Boardman,US,lobosjr,Overwatchin' | !schedule,Overwatch,533,community
9/19/2016 12:25,1,Boardman,US,esl_overwatch,RERUN: Misfits vs Prets - Atlantic Showdown EU Qualifier #1 - Quarterfinal,Overwatch,531,non_community
9/9/2016 7:22,5,Boardman,US,wishyouluckk,The Trespasser is Trash | !Patreon,Destiny,524,community
7/20/2016 16:41,3,San Francisco,US,nvidia,Swifty Live from Universal Studios | 3PM - 6PM PT | Team NVIDIA,Pokémon Go,523,community
7/15/2016 1:11,5,Boardman,US,femsteph,What IS THIS GAME?! || !Bits Beta Testing || !Merch http://dbh.la/femsteph,Zero Time Dilemma,521,community
7/25/2016 23:08,1,San Francisco,US,nosleeptv,Cpt. Nosleeptv ][ @thenosleeptv,Battlefield 4,516,community
8/10/2016 3:04,3,Boardman,US,buehlero,1/4 mini final table | €10 PKO | €300 up top,Poker,516,community
7/4/2016 0:10,1,Boardman,US,teddy_recks,4v4 Challenges  #TeddyBears,Call of Duty: Black Ops III,516,community
7/20/2016 6:54,3,Boardman,US,sickmotionlol,FULL ARMPEN AD SION AFO GANGBANG and other train related activities - NA ranked is STILL DOWN FeelsBadMan,League of Legends,514,community
8/10/2016 8:40,3,Boardman,US,hypnotizd_,Infinity Evolved Skyblock - Day 9,Minecraft,511,community
6/22/2016 3:23,3,Boardman,US,rsnrrobert,Ruining everyones day on DMM- 5min delay  !twitter,RuneScape,511,community
6/9/2016 7:16,4,Boardman,US,sinneddonut,[ENG] Australian - First time :D,Counter-Strike: Global Offensive,508,community
6/7/2016 9:38,2,Boardman,US,angrypug_,Take Over Tuesdays [554 Wins],H1Z1: King of the Kill,508,community
8/7/2016 23:50,0,Boardman,US,snutzy,Snutz <Method> [Hardcore] Rank 1 Monk Push,Diablo III: Reaper of Souls,507,community
6/17/2016 15:20,5,Boardman,US,rigbbb,Stage w/ Rigby !cboy,NBA 2K16,504,community
9/15/2016 20:01,4,Boardman,US,darbian,The Super Marihour Challenge,Super Mario World,503,community
6/17/2016 17:51,5,Boardman,US,rigbbb,Stage w/ Rigby !cboy,NBA 2K16,503,community
8/13/2016 4:08,6,Boardman,US,orb,24 HOUR STREAM HYPE :D |  Sub giveaways throughout stream | !marathon,Counter-Strike: Global Offensive,501,community
7/19/2016 1:20,2,Boardman,US,multigamegod,Plat to Diamond Real Fast,League of Legends,500,community
7/30/2016 12:49,6,Boardman,US,kubzyx,@NG_Kubzy - uf357leguf357 3v3 druid with eu,World of Warcraft,498,community
8/15/2016 19:17,1,Boardman,US,prorl,Semifinals! PRL Monday Night 2v2 Tournament | Low5ive and SadJunior Cast | !bracket !discord !patreon,Rocket League,498,community
7/27/2016 14:20,3,San Francisco,US,gdsurv,Yatagarasu (going for new record),Dead by Daylight,497,community
6/29/2016 11:32,3,San Francisco,US,streaminc,COME JOIN US PLAY! DOGE PLAYS BLACK OPS 3,Grand Theft Auto V,492,community
6/4/2016 23:12,6,Boardman,US,therunningmanz,24hr stream! Celebrating as puberty has finally kicked in,DayZ,491,community
7/6/2016 5:28,3,San Francisco,US,iamsp00n,Early Morning Adventures of Quhoogma! (Terraria PC),Terraria,488,community
7/14/2016 12:06,4,Boardman,US,playroyaltypvp,SURVIVOR ONLY RANK 18 GRIND Back TO 1,Dead by Daylight,486,community
9/10/2016 18:30,6,Boardman,US,pokerstars,$100k Super High Roller with Jason Mercier and Jason Somerville   begins 12pm PT/3pm ET/8pm BST/9pm CEST,Poker,486,community
8/11/2016 22:45,4,Boardman,US,snutzy,Snutz <Method> Hardcore Monk/WD,Diablo III: Reaper of Souls,485,community
8/24/2016 2:08,3,Boardman,US,hristivoje,Final Table! | $518 up top! | @all_in_pav,Poker,483,community
6/29/2016 10:38,3,San Francisco,US,bmkibler,Kibler - Legendary Shenanigans,Hearthstone: Heroes of Warcraft,482,community
9/13/2016 7:48,2,Boardman,US,sickmotionlol,༼ つ ◕_◕ ༽つ Next stream Tuesday @ 1030 pm PDT!,League of Legends,480,community
8/28/2016 19:29,0,Boardman,US,richard_hammer,3 years already. Thank you.,Worms W.M.D,478,community
9/7/2016 0:46,3,Boardman,US,surefour,Just another day uknow.,Overwatch,476,community
7/6/2016 1:49,3,Boardman,US,femsteph,No Shower Tuesday ¯\_(ツ)_/¯ || !Bits Beta Testing || !Merch http://dbh.la/femsteph,DayZ,475,community
7/26/2016 11:28,2,Boardman,US,lowco2525,NEW !patch | Ranked Killer + Survivor | We Happy Few After!   [630],Dead by Daylight,466,community
6/14/2016 23:23,2,Boardman,US,alaskansavage,Dead by Daylight w/ viewers! (PC),Dead by Daylight,465,community
7/8/2016 12:19,5,Boardman,US,seriousgaming,Happy Friday! Gotta Catch Them ALL! 2 Stream PC Test! @seriousgaming,7 Days to Die,464,community
9/3/2016 8:31,6,Boardman,US,vipgrinders,EasyWithAces $215 Booty Builder!!,Poker,463,community
6/7/2016 19:10,2,Boardman,US,yocarkeybruh,add carkey !glitch !cboy,NBA 2K16,460,community
6/13/2016 15:51,1,Boardman,US,troydangaming,CONGRATS 2 THE WARRIORS,NBA 2K16,455,community
6/27/2016 14:58,1,Boardman,US,bottomboydee,"xb1 chillin, join up",Grand Theft Auto V,452,community
9/10/2016 17:06,6,Boardman,US,laceduplauren,Saturday Sippin'! #10moredays,Destiny,449,community
6/25/2016 15:05,6,Boardman,US,zap55,eGr Zapman | Ranked with commentary,Smite,448,community
8/12/2016 23:46,5,Boardman,US,dappur,tiltin',Rocket League,447,community
7/17/2016 13:58,0,San Francisco,US,xsmak,Shooting stuff,Tom Clancy's Rainbow Six: Siege,447,community
7/12/2016 9:07,2,Boardman,US,librizzilol,Waiting for NECROPOLIS to go Live! | 1261 Wins | 37 Trial Wins,The Culling,445,community
7/21/2016 23:30,4,San Francisco,US,maldiva,Maldiva - Legion Demo Warlock Testing,World of Warcraft,444,community
6/18/2016 12:27,6,Boardman,US,break71,DayZ 0.60 // Twitter @Break_71,DayZ,442,community
9/5/2016 12:48,1,Boardman,US,osrs_fishy,70B Giveaway!,RuneScape,442,community
8/27/2016 4:53,6,Boardman,US,burnbxx,Trials w/ an OLD Nerd aka DGCSCRUB,Destiny,442,community
6/24/2016 22:54,5,Boardman,US,beagsandjam,SHERIFF HANDSOME AND THE THREE LADY DEPUTIES,Overwatch,441,community
6/24/2016 13:52,5,Boardman,US,orzanel,ENG/RO - New Playthrough,Doom,440,community
7/9/2016 15:24,6,San Francisco,US,lowco2525,"Looneybin Carnival! GrumpyCat Nose job, giveaways, music, and FUN! [617]",Keep Talking and Nobody Explodes,437,community
8/1/2016 20:15,1,Boardman,US,ryzentv,Ryzen | Deathwing Druid | New Sub Sound & GIF | New Revlo Reward: 1v1 | Theme Days!,Hearthstone: Heroes of Warcraft,437,community
8/10/2016 4:14,3,Boardman,US,raszi,Final 20 $22 Turbo PLO $630 1st,Poker,433,community
7/17/2016 5:27,0,Boardman,US,loriipops,New Zealand Food! Pie and Pavlova! #food #Pies #pleb,Social Eating,433,community
7/1/2016 14:15,5,Boardman,US,bisnap,Random Glitches Because Hilarity,Borderlands 2,431,community
6/8/2016 10:27,3,Boardman,US,gillynumba9,Halo 5 Campaign,NBA 2K16,430,community
8/4/2016 16:40,4,Boardman,US,zmcnikolaii,24 Hour Stream | Fnaf 4,Minecraft,426,community
9/16/2016 11:17,5,Boardman,US,tyrant_theviper,Streaming until Chelsea - Liverpool at 19 GMT,Age of Empires II: The Conquerors,425,community
7/3/2016 3:06,0,San Francisco,US,zmcnikolaii,Badlion UHC - FFA,Minecraft,423,community
6/8/2016 14:50,3,Boardman,US,nvidia,Takarita324 | 3PM - 6PM PT | Team NVIDIA,Dead by Daylight,423,community
8/29/2016 23:21,1,Boardman,US,swifty,Swifty Legion Prestige Race,World of Warcraft,422,community
6/8/2016 10:53,3,San Francisco,US,bjpofficial,The Most EU-Friendly Stream Ever!,Action Henk,421,community
8/28/2016 19:56,0,Boardman,US,dasmehdi,#IndieSunday,Bizarre Earthquake,419,community
6/5/2016 21:03,0,Boardman,US,femsteph,"Sunday, Sunday, Sunday || Astro A40 TR Giveaway THURSDAY 6/9!",Dead by Daylight,418,community
6/10/2016 5:20,5,Boardman,US,buehlero,"so sick, now more mtts!",Poker,415,community
6/14/2016 11:32,2,Boardman,US,dailygtastreamer2,BRB!!!,Grand Theft Auto V,415,community
9/9/2016 8:45,5,Boardman,US,nosleeptv,Crash Course W/ NoSLeep #comedy #theater,Hearthstone: Heroes of Warcraft,414,community
7/4/2016 3:02,1,Boardman,US,maddenboy124,Hawken Console!! XB1,Hawken,410,community
8/6/2016 22:31,6,Boardman,US,jacklifear,JackassPodcast Episode 97 - Featuring @Hepharino @McLoken @YaboiDeyquan @tehMorag @OG_Arist0tle @SpencerWest @Jooygirl,Gaming Talk Shows,410,community
6/20/2016 0:58,1,Boardman,US,hashinshin,Six years a challenger top laner hashinshin SUPER TOP best man.,League of Legends,410,community
6/19/2016 23:41,0,Boardman,US,snak3ey3z,Dunkingn,"Rocket League (32-bit, DX9)",408,community
6/3/2016 21:03,5,Boardman,US,zacmj1,"PS4: GTAV - LSPDFR, Code Zero, And More!!",Grand Theft Auto V,407,community
7/14/2016 20:49,4,Boardman,US,actabunnifoofoo,Video Games & Friendship! - #QuestToMakePeopleSmile,Golf With Friends,407,community
9/12/2016 12:00,1,Boardman,US,thatstreaminblackguy,THE UK GLOBAL ELITE | FACEIT TOURNAMENT | UK'S FIRST BLACK CS STREAMER,Counter-Strike: Global Offensive,400,community
7/27/2016 11:50,3,San Francisco,US,xflixx_teampokerstars,NEXT: ZOOMRAIDER THURSDAY,Poker,399,community
6/7/2016 12:50,2,Boardman,US,orzanel,ENG/RO - Blood and Wine DLC - Death March Difficulty,The Witcher 3: Wild Hunt,397,community
9/3/2016 22:45,6,Boardman,US,vibelol,playing more games!,Warcraft III: The Frozen Throne,395,community
7/6/2016 23:04,3,San Francisco,US,carrymebb,Orange lul come join,Team Fortress 2,394,community
8/3/2016 22:26,3,Boardman,US,koopatroopa787,change LVL 32 DarkFarm in the Park,change PokemonGO,393,community
9/11/2016 0:08,0,Boardman,US,romkah,[RU]/[EN]Highly qualified Christian Counselor#Gay #Gay4Pay #BrokeStraightBoy #Russian #Ukrainian,League of Legends,393,community
8/22/2016 11:24,1,Boardman,US,empyriangaming,<ZE> Empyrian - 107 done - 1% runs later - !105 clear - adventures of Monk/Wizardpyrian uf602 uf44c,Diablo III: Reaper of Souls,393,community
7/13/2016 8:41,3,San Francisco,US,tornis,"DD is done! GG, now it's time for Salty Arenas  [EN/RU]",Hearthstone: Heroes of Warcraft,393,community
6/9/2016 20:25,4,Boardman,US,darbian,"smb1, smb2, smb3, smw, sm64 no reset run http://pastebin.com/QaCUUAZ8",Super Mario Bros. 2,391,community
7/9/2016 12:00,6,Boardman,US,librizzilol,Clever F.U.N.C. Title | 1245 Wins | 35 Trial Wins,The Culling,390,community
6/17/2016 0:44,5,Boardman,US,alaskansavage,"The Solus Project [PC] yo space, you scary dawg",The Solus Project,389,community
7/21/2016 13:57,4,Boardman,US,glolightss,Being ViewBotted,NBA 2K16,388,community
6/5/2016 4:27,0,Boardman,US,xshowtime13,BACK ON ARENA GRIND STREAK!!,Call of Duty: Black Ops III,387,community
7/17/2016 19:02,0,Boardman,US,logichole,#AnimEVO: Anime After Hours Suite ft. Guests from Arc System Works!,BlazBlue: Central Fiction,383,non_community
7/6/2016 0:25,3,Boardman,US,sickmotionlol,"Patch 6.13 Toplane Commentary - Come learn some stuff about things, or things about stuff - New headset, settings a bit off still",League of Legends,382,community
7/27/2016 16:01,3,Boardman,US,zmcnikolaii,Badlion UHC - FFA Cutclean,Minecraft,381,community
6/19/2016 19:43,0,Boardman,US,cyborgbaron333,[XB1] Zombies W/ Viewers,Call of Duty: Black Ops III,380,community
7/2/2016 10:11,6,San Francisco,US,seriousgaming,Breakfast and Games Last Day for MSI 1070GTX Giveaway! http://bit.ly/2986GHv @seriousgamingtv,Social Eating,379,community
7/21/2016 1:27,4,Boardman,US,zepwunderbar,heroes of the dank - Geman BEER TIME after long hard day of struums,Social Eating,378,community
6/24/2016 20:11,5,Boardman,US,femsteph,Frick it's Friday || !Merch http://dbh.la/femsteph,Grand Theft Auto V,377,community
7/14/2016 11:35,4,Boardman,US,zmcnikolaii,MineHQ Factions,Minecraft,376,community
8/31/2016 5:06,3,Boardman,US,buehlero,4/18 | $22 Bubble Rush | $1226 for 1st,Poker,372,community
9/16/2016 21:28,5,Boardman,US,esl_overwatch,RERUN: Fortress vs Prets - Atlantic Showdown EU Qualifier #1 - Ro16,Overwatch,372,non_community
9/5/2016 1:25,1,Boardman,US,frenzy,12 Hour Stream - Double Divinium! w Subs - Twitter: @Frenzy,Call of Duty: Black Ops III,369,community
9/5/2016 1:25,1,Boardman,US,frenzy,12 Hour Stream - Double Divinium! w Subs - Twitter: @Frenzy,Call of Duty: Black Ops III,369,community
6/5/2016 3:44,0,Boardman,US,shotsfiredmarathon,WET (Any%) by The_Metric_System | Shots Fired 2: Reloaded https://horaro.org/shotsfired2/schedule,WET,368,community
8/11/2016 6:33,4,Boardman,US,spareosu,"#11 multi with Hvick , Surume , Nento , Xilver",osu!,368,community
6/4/2016 12:23,6,Boardman,US,shotsfiredmarathon,Metroid Prime (Any%) by Edzan13 | Shots Fired 2: Reloaded https://horaro.org/shotsfired2/schedule,Metroid Prime,367,community
9/18/2016 15:05,0,Boardman,US,supremogaming11,3 Free copy's of 2k17,NBA 2K17,366,community
7/16/2016 15:03,6,Boardman,US,ryuquezacotl,DIABLO 2 ANY% HELL HC SORCERESS SPEEDRUN,Breath of Fire,366,community
8/14/2016 13:24,0,Boardman,US,orzanel,ENG/RO - [3400+WN8] - Random tanks!,World of Tanks,365,community
9/10/2016 13:24,6,Boardman,US,wingsofdeath,I can be EU Friendly too!,League of Legends,365,community
9/13/2016 18:04,2,Boardman,US,esl_overwatch,RERUN: Misfits vs Prets - Atlantic Showdown EU Qualifier #1 - Quarterfinal,Overwatch,365,non_community
9/4/2016 19:55,0,Boardman,US,esl_overwatch,RERUN: EnVyUs vs. Dignitas - Overwatch Atlantic Showdown - EU Regional Finals - Group A,Overwatch,364,non_community
8/15/2016 9:41,1,Boardman,US,danielmarpoker,deeeeep in the $22 bounty !!! 11/21,Poker,362,community
9/12/2016 3:30,1,Boardman,US,natebra,970ish/1K Dharok Sets | DH Brid+ Void Pure PKing | !what !pkguides !latestvid !highlights !paststream,RuneScape,361,community
8/23/2016 12:21,2,Boardman,US,lowco2525,Deus Ex: Mankind Divided starts NOW! | Limited Edition !shirt [652],Deus Ex: Mankind Divided,360,community
9/8/2016 2:00,4,Boardman,US,finalbosstv,844 EnhSham ♥ 805 HavocDH | !guide !support,World of Warcraft,358,community
8/17/2016 14:07,3,Boardman,US,warbulletproof,swetz,Destiny,358,community
6/4/2016 0:49,6,Boardman,US,pcoolest,Come CHILL,Call of Duty: Black Ops III,357,community
7/8/2016 9:33,5,Boardman,US,miss_rage,got  my own discord server now: discord.gg/missrage ヾ(´︶`♡)ﾉ join us! if ure a sub connect ur discord with twitch!,Counter-Strike: Global Offensive,356,community
6/10/2016 0:19,5,Boardman,US,hristivoje,50NL #MakePokerPavAgain,Poker,356,community
9/7/2016 10:19,3,Boardman,US,bmkibler,Kibler - It's My Birthday and I'll Stream if I Want to,Hearthstone: Heroes of Warcraft,356,community
9/5/2016 17:47,1,Boardman,US,nvidia,uf482 Lt Zonda uf52b | 9AM - 12PM PT | Team NVIDIA,ARK,354,community
8/15/2016 13:54,1,Boardman,US,parasitetv,coL Parasite CoD XP,Call of Duty: Black Ops III,354,community
7/13/2016 16:22,3,San Francisco,US,ausspeedrunmarathon,ASM 2016 - Pokémon Mystery Dungeon Blue Rescue Team by werster,Pokémon Mystery Dungeon: Blue/Red Rescue Team,353,community
8/31/2016 19:05,3,Boardman,US,haylinic,ϟ WINE AND COOKING STREAM WITH @EVANNEELIZABETH!,Creative,352,community
7/16/2016 10:51,6,Boardman,US,warbulletproof,where's the goobySB at?,Destiny,352,community
7/17/2016 22:40,0,Boardman,US,multigamegod,Plat to Diamond Here We Go,League of Legends,352,community
6/5/2016 11:25,0,Boardman,US,anniebot,Annie Bot | Super Short Stream ahh,League of Legends,351,community
8/6/2016 12:34,6,Boardman,US,break71,Worst Streamer EU // #ASUS #Giveaway http://tinyurl.com/j8hjkbl // @Break_71,Arma 3,348,community
6/21/2016 15:22,2,Boardman,US,cyborgbaron333,[XB1] Multiplayer with viewers! ft. Elzibobz,Call of Duty: Black Ops III,348,community
9/7/2016 13:28,3,Boardman,US,xnestorio,UHC Games,Minecraft,344,community
8/2/2016 22:13,2,Boardman,US,clayster,FaZe Clayster | CS w/ Pals!,Counter-Strike: Global Offensive,343,community
8/16/2016 14:10,2,Boardman,US,lowco2525,[PC] Ranked Killer + Survivor | Limited Edition !shirt [647],Dead by Daylight,343,community
7/23/2016 2:35,6,San Francisco,US,zepwunderbar,zepLION - AZMODONGS FOR LIFE,Heroes of the Storm,342,community
8/27/2016 17:08,6,Boardman,US,esl_overwatch,RERUN: OWKings vs. NGB - Overwatch Atlantic Showdown EU Qualifier #2 - Quarterfinal,Overwatch,342,non_community
7/31/2016 4:27,0,Boardman,US,morrolantv,NA Uno | Enhancing Stuff,Black Desert,341,community
8/31/2016 4:53,3,Boardman,US,buehlero,3/27 | $22 Bubble Rush | $1226 for 1st,Poker,341,community
6/2/2016 13:33,4,Boardman,US,y0dag33k,[XB1 - ENG] Online Casual,Tom Clancy's Rainbow Six: Siege,340,community
7/6/2016 20:03,3,San Francisco,US,femsteph,Ermergerd! A Wednesday Stream || !Bits Beta Testing || !Merch http://dbh.la/femsteph,Creative,338,community
6/7/2016 18:06,2,Boardman,US,nvidia,PyrionFlax | 12PM - 3PM PT | Team NVIDIA,Dota 2,337,community
7/10/2016 17:09,0,Boardman,US,wildmad,CHALLENGER PLAYER  TEACHING PLEB,League of Legends,337,community
8/31/2016 11:37,3,Boardman,US,ziqoftw,"@Ziqoftw - BG/Arena honor talent farm, AP farm etc",World of Warcraft,336,community
8/14/2016 19:53,0,Boardman,US,tessachka,"WINE% [PC60fpsUltra] + !GIVEAWAY + NEW Sub Alert! + Live HEART RATE ~(^‿- )~ Casual Stuffs Now, IL MEC Lvls SOON? HEALTHATHON Life ;)",Overwatch,335,community
9/10/2016 18:22,6,Boardman,US,fredsauce,Kinect Star Wars,Kinect Star Wars,333,community
8/21/2016 19:26,0,Boardman,US,o_smoked,{FINALS} 2v2 UMG SnD Tournament w/ @Smoked,Call of Duty: Black Ops III,332,community
